Time: 5.55 s, Pressure: 8.58 bar, Temperature: 98.75 °C, Pressure Output: 10.50 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.75, Pressure Error: 0.42, PWM Duty Cycle: 0.00 %
Time: 5.62 s, Pressure: 8.57 bar, Temperature: 98.75 °C, Pressure Output: 10.65 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.75, Pressure Error: 0.43, PWM Duty Cycle: 0.00 %
Time: 5.74 s, Pressure: 8.58 bar, Temperature: 98.75 °C, Pressure Output: 10.63 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.75, Pressure Error: 0.42, PWM Duty Cycle: 0.00 %
Time: 5.82 s, Pressure: 8.57 bar, Temperature: 98.75 °C, Pressure Output: 10.73 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.75, Pressure Error: 0.43, PWM Duty Cycle: 0.00 %
Time: 5.89 s, Pressure: 8.57 bar, Temperature: 98.75 °C, Pressure Output: 10.69 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.75, Pressure Error: 0.43, PWM Duty Cycle: 0.00 %
Time: 5.96 s, Pressure: 8.56 bar, Temperature: 98.75 °C, Pressure Output: 10.87 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.75, Pressure Error: 0.44, PWM Duty Cycle: 0.00 %
Time: 6.04 s, Pressure: 8.57 bar, Temperature: 98.75 °C, Pressure Output: 10.72 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.75, Pressure Error: 0.43, PWM Duty Cycle: 0.00 %
Time: 6.12 s, Pressure: 8.57 bar, Temperature: 98.75 °C, Pressure Output: 10.81 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.75, Pressure Error: 0.43, PWM Duty Cycle: 0.00 %
Time: 6.24 s, Pressure: 8.57 bar, Temperature: 98.75 °C, Pressure Output: 10.87 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.75, Pressure Error: 0.43, PWM Duty Cycle: 0.00 %
Time: 6.38 s, Pressure: 8.57 bar, Temperature: 98.50 °C, Pressure Output: 10.90 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.50, Pressure Error: 0.43, PWM Duty Cycle: 0.00 %
Time: 6.52 s, Pressure: 8.56 bar, Temperature: 98.50 °C, Pressure Output: 10.94 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.50, Pressure Error: 0.44, PWM Duty Cycle: 0.00 %
Time: 6.61 s, Pressure: 8.55 bar, Temperature: 98.50 °C, Pressure Output: 11.13 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.50, Pressure Error: 0.45, PWM Duty Cycle: 0.00 %
Time: 6.69 s, Pressure: 8.56 bar, Temperature: 98.50 °C, Pressure Output: 11.09 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.50, Pressure Error: 0.44, PWM Duty Cycle: 0.00 %
Time: 6.78 s, Pressure: 8.55 bar, Temperature: 98.50 °C, Pressure Output: 11.20 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.50, Pressure Error: 0.45, PWM Duty Cycle: 0.00 %
Time: 6.86 s, Pressure: 8.55 bar, Temperature: 98.50 °C, Pressure Output: 11.16 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.50, Pressure Error: 0.45, PWM Duty Cycle: 0.00 %
Time: 6.93 s, Pressure: 8.55 bar, Temperature: 98.50 °C, Pressure Output: 11.24 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.50, Pressure Error: 0.45, PWM Duty Cycle: 0.00 %
Time: 6.99 s, Pressure: 8.55 bar, Temperature: 97.75 °C, Pressure Output: 11.21 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.75, Pressure Error: 0.45, PWM Duty Cycle: 0.00 %
Time: 7.06 s, Pressure: 8.55 bar, Temperature: 97.75 °C, Pressure Output: 11.32 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.75, Pressure Error: 0.45, PWM Duty Cycle: 0.00 %
Time: 7.16 s, Pressure: 8.55 bar, Temperature: 97.75 °C, Pressure Output: 11.20 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.75, Pressure Error: 0.45, PWM Duty Cycle: 0.00 %
Time: 7.22 s, Pressure: 8.56 bar, Temperature: 97.75 °C, Pressure Output: 11.18 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.75, Pressure Error: 0.44, PWM Duty Cycle: 0.00 %
Time: 7.30 s, Pressure: 8.56 bar, Temperature: 97.50 °C, Pressure Output: 11.20 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.50, Pressure Error: 0.44, PWM Duty Cycle: 0.00 %
Time: 7.41 s, Pressure: 8.55 bar, Temperature: 97.50 °C, Pressure Output: 11.27 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.50, Pressure Error: 0.45, PWM Duty Cycle: 0.00 %
Time: 7.48 s, Pressure: 8.55 bar, Temperature: 97.50 °C, Pressure Output: 11.28 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.50, Pressure Error: 0.45, PWM Duty Cycle: 0.00 %
Time: 7.57 s, Pressure: 8.55 bar, Temperature: 97.50 °C, Pressure Output: 11.32 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.50, Pressure Error: 0.45, PWM Duty Cycle: 0.00 %
Time: 7.64 s, Pressure: 8.55 bar, Temperature: 97.50 °C, Pressure Output: 11.31 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.50, Pressure Error: 0.45, PWM Duty Cycle: 0.00 %
Time: 7.72 s, Pressure: 8.55 bar, Temperature: 97.50 °C, Pressure Output: 11.32 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.50, Pressure Error: 0.45, PWM Duty Cycle: 0.00 %
Time: 7.83 s, Pressure: 8.55 bar, Temperature: 97.50 °C, Pressure Output: 11.28 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.50, Pressure Error: 0.45, PWM Duty Cycle: 0.00 %
Time: 7.91 s, Pressure: 8.56 bar, Temperature: 97.50 °C, Pressure Output: 11.14 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.50, Pressure Error: 0.44, PWM Duty Cycle: 0.00 %
Time: 8.01 s, Pressure: 8.56 bar, Temperature: 97.50 °C, Pressure Output: 11.15 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.50, Pressure Error: 0.44, PWM Duty Cycle: 0.00 %
Time: 8.08 s, Pressure: 8.56 bar, Temperature: 97.50 °C, Pressure Output: 11.11 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.50, Pressure Error: 0.44, PWM Duty Cycle: 0.00 %
Time: 8.18 s, Pressure: 8.57 bar, Temperature: 97.50 °C, Pressure Output: 11.02 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.50, Pressure Error: 0.43, PWM Duty Cycle: 0.00 %
Time: 8.28 s, Pressure: 8.57 bar, Temperature: 95.75 °C, Pressure Output: 11.06 %, Heater State: ON, Flow Rate: 0.00 mL/s, Temp Error: -0.75, Pressure Error: 0.43, PWM Duty Cycle: 13.20 %
Time: 8.38 s, Pressure: 8.57 bar, Temperature: 95.75 °C, Pressure Output: 11.02 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -0.75, Pressure Error: 0.43, PWM Duty Cycle: 0.00 %
Time: 8.44 s, Pressure: 8.57 bar, Temperature: 95.75 °C, Pressure Output: 11.09 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -0.75, Pressure Error: 0.43, PWM Duty Cycle: 0.00 %
Time: 8.52 s, Pressure: 8.57 bar, Temperature: 95.75 °C, Pressure Output: 11.06 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -0.75, Pressure Error: 0.43, PWM Duty Cycle: 0.00 %
Time: 8.59 s, Pressure: 8.57 bar, Temperature: 95.25 °C, Pressure Output: 11.11 %, Heater State: ON, Flow Rate: 0.00 mL/s, Temp Error: -0.25, Pressure Error: 0.43, PWM Duty Cycle: 1.68 %
Time: 8.65 s, Pressure: 8.57 bar, Temperature: 95.25 °C, Pressure Output: 11.10 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -0.25, Pressure Error: 0.43, PWM Duty Cycle: 0.00 %
Time: 8.72 s, Pressure: 8.57 bar, Temperature: 95.25 °C, Pressure Output: 11.08 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -0.25, Pressure Error: 0.43, PWM Duty Cycle: 0.00 %
Time: 8.81 s, Pressure: 8.57 bar, Temperature: 95.25 °C, Pressure Output: 11.02 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -0.25, Pressure Error: 0.43, PWM Duty Cycle: 0.00 %
Time: 8.90 s, Pressure: 8.57 bar, Temperature: 94.75 °C, Pressure Output: 11.01 %, Heater State: ON, Flow Rate: 0.00 mL/s, Temp Error: 0.25, Pressure Error: 0.43, PWM Duty Cycle: 2.67 %
